Date,Ticker,Action,Shares,Price,Total
2025-03-06,AAPL,SELL,10,188.51379561940644,1885.1379561940644
2025-03-07,AAPL,SELL,10,183.44176758017915,1834.4176758017916
2025-03-08,AAPL,SELL,10,179.20142010206132,1792.0142010206132
2025-03-09,AAPL,SELL,10,184.8613715696007,1848.613715696007
2025-03-10,AAPL,SELL,10,182.2908290198069,1822.908290198069
2025-03-11,AAPL,SELL,10,182.61291758493877,1826.1291758493876
2025-03-12,AAPL,SELL,10,184.52586855212215,1845.2586855212214
2025-03-13,AAPL,SELL,10,192.6273337469252,1926.2733374692518
2025-03-14,AAPL,SELL,10,193.07659203872075,1930.7659203872074
2025-03-15,AAPL,SELL,10,188.67605570248352,1886.7605570248352
2025-03-16,AAPL,SELL,10,185.9722433889323,1859.722433889323
2025-03-17,AAPL,SELL,10,186.87744879921405,1868.7744879921406
2025-03-18,AAPL,SELL,10,191.0678784747446,1910.678784747446
2025-03-19,AAPL,SELL,10,191.20407759206603,1912.0407759206603
2025-03-20,AAPL,SELL,10,197.76205610813136,1977.6205610813136
2025-03-21,AAPL,SELL,10,196.22054176438647,1962.2054176438646
2025-03-22,AAPL,SELL,10,197.14520497000683,1971.4520497000683
2025-03-23,AAPL,SELL,10,197.30585408037987,1973.0585408037987
2025-03-24,AAPL,SELL,10,202.91172322579595,2029.1172322579596
2025-03-25,AAPL,SELL,10,206.14575541591776,2061.4575541591776
2025-03-26,AAPL,SELL,10,208.99378131260696,2089.9378131260696
2025-03-27,AAPL,SELL,10,206.04623045777515,2060.4623045777516
2025-03-28,AAPL,SELL,10,201.08316427542695,2010.8316427542695
2025-03-29,AAPL,SELL,10,205.080840331706,2050.8084033170603
2025-03-30,AAPL,SELL,10,205.9888910575342,2059.888910575342
2025-03-31,AAPL,SELL,10,198.15520730821677,1981.5520730821677
2025-04-01,AAPL,SELL,10,194.7613122586915,1947.613122586915
2025-04-02,AAPL,SELL,10,197.53475788964,1975.3475788964
2025-04-03,AAPL,SELL,10,196.64130887969296,1966.4130887969295
2025-04-04,AAPL,SELL,10,201.68188175786327,2016.8188175786327
2025-04-05,AAPL,SELL,10,202.44239738212687,2024.4239738212686
2025-04-06,AAPL,SELL,10,195.7224446286388,1957.2244462863882
2025-04-07,AAPL,SELL,10,193.92514296641824,1939.2514296641823
2025-04-08,AAPL,SELL,10,196.40752605940983,1964.0752605940984
2025-04-09,AAPL,SELL,10,198.80352077487333,1988.0352077487332
2025-04-10,AAPL,SELL,10,200.8874682503221,2008.8746825032208
2025-04-11,GOOGL,SELL,10,194.3934249836836,1943.934249836836
2025-04-12,GOOGL,SELL,10,199.8924319265257,1998.9243192652568
2025-04-13,GOOGL,SELL,10,197.9089639800844,1979.089639800844
2025-04-14,GOOGL,SELL,10,190.27571864763053,1902.7571864763054
2025-04-15,GOOGL,SELL,10,195.56131795130204,1955.6131795130204
2025-04-16,GOOGL,SELL,10,195.38564208236167,1953.8564208236166
2025-04-17,GOOGL,SELL,10,189.63967604811063,1896.3967604811064
2025-04-18,GOOGL,SELL,10,185.90657480703996,1859.0657480703996
2025-04-19,GOOGL,SELL,10,183.18865978914775,1831.8865978914775
2025-04-20,GOOGL,SELL,10,184.33582121446025,1843.3582121446025
2025-04-21,GOOGL,SELL,10,188.346753183912,1883.46753183912
2025-04-22,MSFT,BUY,10,293.6795192814697,2936.795192814697
2025-04-23,MSFT,BUY,10,295.4162749463072,2954.162749463072
2025-04-24,MSFT,BUY,10,300.73554013018304,3007.35540130183
2025-04-25,MSFT,BUY,10,297.6016495076506,2976.016495076506
2025-04-26,AAPL,BUY,10,179.39766411873092,1793.9766411873093
2025-04-27,AAPL,BUY,10,174.2017257482362,1742.017257482362
2025-04-28,AAPL,BUY,10,174.5070087466193,1745.070087466193
2025-04-29,AAPL,BUY,10,171.82963585419358,1718.296358541936
2025-04-30,AAPL,BUY,10,165.50945024318972,1655.0945024318971
2025-05-01,AAPL,BUY,10,165.57275124255892,1655.7275124255893
2025-05-02,AAPL,BUY,10,167.52560502127506,1675.2560502127506
2025-05-03,AAPL,BUY,10,169.89628940652264,1698.9628940652265
2025-05-04,AAPL,BUY,10,170.29943404481747,1702.9943404481746
2025-05-05,AAPL,BUY,10,171.7020454973839,1717.020454973839
2025-05-06,AAPL,BUY,10,172.71558514799946,1727.1558514799947
2025-05-07,AAPL,BUY,10,172.5628584229644,1725.628584229644
2025-05-08,AAPL,BUY,10,178.69288334461814,1786.9288334461814
2025-05-09,AAPL,BUY,10,178.377265016673,1783.7726501667298
2025-05-10,AAPL,BUY,10,171.4507882947481,1714.507882947481
2025-05-11,AAPL,BUY,10,180.404815931018,1804.04815931018
2025-05-12,AAPL,BUY,10,181.7549659963832,1817.5496599638318
2025-05-13,AAPL,BUY,10,184.75170142947664,1847.5170142947663
2025-05-14,AAPL,BUY,10,188.0919116062509,1880.9191160625091
2025-05-15,AAPL,BUY,10,189.1032342170216,1891.032342170216
2025-05-16,AAPL,BUY,10,183.77677153829495,1837.7677153829495
2025-05-17,AAPL,BUY,10,183.8415351196837,1838.415351196837
2025-05-18,AAPL,BUY,10,185.81689373613256,1858.1689373613256
2025-05-19,AAPL,BUY,10,184.35556428312057,1843.5556428312057
2025-05-20,AAPL,BUY,10,189.2575310582017,1892.575310582017
2025-05-21,AAPL,BUY,10,193.0066684459237,1930.066684459237
2025-05-22,AAPL,BUY,10,194.54094272910385,1945.4094272910384
2025-05-23,AAPL,BUY,10,190.90055638309695,1909.0055638309695
2025-05-24,AAPL,BUY,10,188.6748021601548,1886.7480216015479
2025-05-25,AAPL,BUY,10,183.65447512802865,1836.5447512802866
2025-05-26,AAPL,BUY,10,183.50596084233445,1835.0596084233443
2025-05-27,AAPL,BUY,10,187.1735129936232,1871.7351299362322
2025-05-28,AAPL,SELL,10,191.92079603896693,1919.2079603896693
2025-05-29,AAPL,SELL,10,188.1868625237965,1881.8686252379648
2025-05-30,AAPL,SELL,10,193.2498377831408,1932.498377831408
2025-05-31,AAPL,SELL,10,194.6945057161849,1946.945057161849
2025-06-01,AAPL,SELL,10,200.6646531222204,2006.646531222204
2025-06-02,AAPL,SELL,10,208.50921444487943,2085.0921444487944
2025-06-03,AAPL,SELL,10,205.46763436808243,2054.676343680824
2025-06-04,AAPL,SELL,10,210.44170749738944,2104.4170749738946
2025-06-05,AAPL,SELL,10,209.57606670993565,2095.7606670993564
2025-06-06,AAPL,SELL,10,210.33561960717608,2103.3561960717607
2025-06-07,AAPL,SELL,10,212.58728704842292,2125.872870484229
2025-06-08,AAPL,SELL,10,207.23346897130187,2072.3346897130186
2025-06-09,AAPL,SELL,10,209.3173032173705,2093.173032173705
2025-06-10,AAPL,SELL,10,204.45347435616972,2044.5347435616973
2025-06-11,AAPL,SELL,10,201.97616181414003,2019.7616181414003
2025-06-12,AAPL,SELL,10,201.03149153974493,2010.3149153974493
2025-06-13,AAPL,SELL,10,203.14839125908725,2031.4839125908725
2025-06-14,AAPL,SELL,10,198.772110485441,1987.72110485441
2025-06-15,AAPL,SELL,10,203.4059194659129,2034.059194659129
2025-06-16,AAPL,SELL,10,195.7660465495387,1957.660465495387
2025-06-17,AAPL,SELL,10,200.5661643583221,2005.6616435832211
2025-06-18,AAPL,SELL,10,205.94131133679488,2059.413113367949
2025-06-19,AAPL,SELL,10,207.25747520510976,2072.5747520510977
2025-06-20,AAPL,SELL,10,204.50359544842323,2045.0359544842322
2025-06-21,AAPL,SELL,10,202.28371090612112,2022.837109061211
2025-06-22,AAPL,SELL,10,201.67402482862545,2016.7402482862544
2025-06-23,AAPL,SELL,10,202.59149165667955,2025.9149165667955
2025-06-24,AAPL,SELL,10,203.9156270406359,2039.156270406359
2025-06-25,AAPL,SELL,10,207.8262606188523,2078.262606188523
2025-06-26,AAPL,SELL,10,199.821897022876,1998.2189702287599
2025-06-27,AAPL,SELL,10,198.1653956793056,1981.6539567930558
2025-06-28,AAPL,SELL,10,201.8416814487872,2018.416814487872
2025-06-29,GOOGL,BUY,10,118.33009169845074,1183.3009169845075
2025-06-30,GOOGL,BUY,10,118.57372573701132,1185.7372573701132
2025-07-01,GOOGL,BUY,10,118.75334997389764,1187.5334997389764
2025-07-02,GOOGL,BUY,10,116.99842905014496,1169.9842905014495
2025-07-03,GOOGL,BUY,10,119.61172581210856,1196.1172581210856
2025-07-04,GOOGL,BUY,10,119.32926716759016,1193.2926716759016
2025-07-05,GOOGL,BUY,10,120.58833159912724,1205.8833159912724
2025-07-06,GOOGL,BUY,10,122.99385028333307,1229.9385028333309
2025-07-07,GOOGL,BUY,10,120.71669213936823,1207.1669213936823
2025-07-08,AAPL,BUY,10,192.24046019477152,1922.404601947715
2025-07-09,AAPL,BUY,10,186.71733372958184,1867.1733372958183
2025-07-10,AAPL,BUY,10,185.4846733349887,1854.846733349887
2025-07-11,AAPL,BUY,10,182.43910406837537,1824.3910406837538
2025-07-12,AAPL,BUY,10,180.6496654845553,1806.496654845553
2025-07-13,AAPL,BUY,10,179.5531667602822,1795.5316676028222
2025-07-14,AAPL,BUY,10,181.0937510063017,1810.9375100630168
2025-07-15,AAPL,BUY,10,183.29503672258963,1832.9503672258963
2025-07-16,AAPL,BUY,10,185.6716763872151,1856.7167638721508
2025-07-17,AAPL,BUY,10,190.37133221657328,1903.7133221657327
2025-07-18,AAPL,BUY,10,188.9915811920838,1889.915811920838
2025-07-19,AAPL,BUY,10,187.18703065799423,1871.8703065799423
2025-07-20,AAPL,BUY,10,183.97384836075847,1839.7384836075846
2025-07-21,AAPL,BUY,10,185.18687761979453,1851.8687761979454
2025-07-22,AAPL,BUY,10,188.2057610503444,1882.0576105034438
2025-07-23,AAPL,BUY,10,191.762851319525,1917.62851319525
2025-07-24,AAPL,BUY,10,187.70618263339705,1877.0618263339704
2025-07-25,AAPL,BUY,10,189.63729941290464,1896.3729941290464
2025-07-26,AAPL,BUY,10,192.3660773604859,1923.6607736048588
2025-07-27,AAPL,BUY,10,192.9477078722361,1929.477078722361
2025-07-28,AAPL,BUY,10,191.6651240781152,1916.6512407811522
2025-07-29,AAPL,BUY,10,190.4943727272687,1904.943727272687
2025-07-30,AAPL,BUY,10,190.8240295267044,1908.240295267044
2025-07-31,AAPL,BUY,10,191.97507240295155,1919.7507240295156
2025-08-01,AAPL,BUY,10,188.52077394524488,1885.2077394524488
2025-08-02,AAPL,BUY,10,181.51190394216303,1815.1190394216303
2025-08-03,AAPL,BUY,10,180.3966907758002,1803.966907758002
2025-08-04,AAPL,BUY,10,179.89286428357877,1798.9286428357877
2025-08-05,AAPL,BUY,10,186.14574710579876,1861.4574710579877
2025-08-06,AAPL,BUY,10,185.60681519763244,1856.0681519763243
2025-08-07,AAPL,BUY,10,188.9385689163983,1889.385689163983
2025-08-08,AAPL,BUY,10,190.4959158049443,1904.959158049443
2025-08-09,AAPL,BUY,10,186.5615002444349,1865.615002444349
2025-08-10,AAPL,BUY,10,188.47624152706365,1884.7624152706364
2025-08-11,AAPL,BUY,10,187.4479918936285,1874.4799189362852
2025-08-12,AAPL,BUY,10,188.0000749308712,1880.0007493087119
2025-08-13,AAPL,BUY,10,188.0630964106097,1880.6309641060968
2025-08-14,AAPL,BUY,10,194.32355280385775,1943.2355280385775
2025-08-15,AAPL,BUY,10,193.10988301235628,1931.0988301235627
2025-08-16,AAPL,BUY,10,189.92614778480893,1899.2614778480893
2025-08-17,AAPL,BUY,10,193.5040242145265,1935.040242145265
2025-08-18,AAPL,BUY,10,194.9924790189925,1949.924790189925
2025-08-19,AAPL,BUY,10,185.95244343551468,1859.5244343551467
2025-08-20,AAPL,BUY,10,184.1935420062988,1841.935420062988
2025-08-21,AAPL,BUY,10,182.43996266012877,1824.3996266012878
2025-08-22,AAPL,BUY,10,182.89356958285012,1828.9356958285011
2025-08-23,AAPL,BUY,10,178.4872308425153,1784.8723084251528
2025-08-24,AAPL,SELL,10,177.56200089678805,1775.6200089678805
2025-08-25,AAPL,BUY,10,175.70222246755648,1757.0222246755648
2025-08-26,AAPL,BUY,10,171.6156264128018,1716.156264128018
2025-08-27,AAPL,BUY,10,166.71667489664213,1667.1667489664214
2025-08-28,AAPL,BUY,10,168.22718866796149,1682.271886679615
2025-08-29,GOOGL,BUY,10,105.93102819073611,1059.310281907361
2025-08-30,MSFT,SELL,10,320.8178035705374,3208.178035705374
2025-08-31,AAPL,BUY,10,161.54417319780316,1615.4417319780316
2025-09-01,AAPL,BUY,10,160.11690009156007,1601.1690009156007
2025-09-02,MSFT,SELL,10,311.8442359041199,3118.442359041199
2025-09-03,AAPL,BUY,10,155.47703454946375,1554.7703454946375
2025-09-04,AAPL,BUY,10,159.28813917018377,1592.8813917018376
2025-09-05,GOOGL,SELL,10,116.937084005108,1169.37084005108
2025-09-06,GOOGL,SELL,10,115.62900601687453,1156.2900601687452
2025-09-07,AAPL,BUY,10,157.6190050329102,1576.190050329102
2025-09-08,GOOGL,SELL,10,112.97733352203458,1129.7733352203459
2025-09-09,AAPL,BUY,10,159.4006609410543,1594.006609410543
2025-09-10,GOOGL,SELL,10,114.0326100743964,1140.326100743964
2025-09-11,AAPL,BUY,10,161.02935950498875,1610.2935950498875
2025-09-12,GOOGL,SELL,10,111.307808587302,1113.07808587302
2025-09-13,GOOGL,SELL,10,111.25481588968012,1112.5481588968012
2025-09-14,AAPL,BUY,10,162.602590077107,1626.0259007710702
2025-09-15,GOOGL,SELL,10,114.31099774432452,1143.1099774432453
2025-09-16,AAPL,BUY,10,163.78805233977988,1637.8805233977987
2025-09-17,GOOGL,SELL,10,117.11593166685702,1171.1593166685702
2025-09-18,GOOGL,SELL,10,118.76975507021052,1187.6975507021052
2025-09-19,AAPL,BUY,10,170.707970451829,1707.0797045182899
2025-09-20,GOOGL,SELL,10,118.0547864236376,1180.547864236376
2025-09-21,AAPL,BUY,10,171.05791968524144,1710.5791968524145
2025-09-22,MSFT,SELL,10,322.9335682072131,3229.335682072131
2025-09-23,AAPL,BUY,10,168.68897709881625,1686.8897709881626
2025-09-24,AAPL,BUY,10,171.03244261836838,1710.3244261836837
2025-09-25,MSFT,SELL,10,322.924674691914,3229.2467469191397
2025-09-26,AAPL,BUY,10,166.19331320678145,1661.9331320678145
2025-09-27,AAPL,BUY,10,164.9606556958041,1649.606556958041
2025-10-07,AAPL,SELL,10,168.57929754327606,1685.7929754327606
2025-10-08,AAPL,SELL,10,166.87434445279823,1668.7434445279823
2025-10-09,AAPL,SELL,10,167.30707652819746,1673.0707652819747
2025-10-10,AAPL,SELL,10,165.96273032323387,1659.6273032323388
2025-10-11,AAPL,SELL,10,164.11320580299414,1641.1320580299414
2025-10-12,AAPL,SELL,10,161.23466609571943,1612.3466609571942
2025-10-13,AAPL,SELL,10,160.25596095740838,1602.5596095740839
2025-10-14,AAPL,SELL,10,165.51984498682,1655.1984498682
2025-10-15,AAPL,SELL,10,166.54570672864548,1665.4570672864547
2025-10-16,AAPL,SELL,10,170.5551170436779,1705.551170436779
2025-10-17,AAPL,SELL,10,174.41105482013862,1744.110548201386
2025-10-18,AAPL,SELL,10,177.75442391008448,1777.5442391008448
2025-10-19,AAPL,SELL,10,174.9296819883396,1749.296819883396
2025-10-20,AAPL,SELL,10,178.0090343762984,1780.0903437629838
2025-10-21,AAPL,SELL,10,182.179788434994,1821.79788434994
2025-10-22,AAPL,SELL,10,182.8277643986613,1828.277643986613
2025-10-23,AAPL,SELL,10,181.86419572522385,1818.6419572522386
2025-10-24,AAPL,SELL,10,180.8964184137084,1808.964184137084
2025-10-25,AAPL,SELL,10,177.97696445396386,1779.7696445396386
2025-10-26,AAPL,SELL,10,179.03809189952526,1790.3809189952526
2025-10-27,AAPL,SELL,10,180.7261877703197,1807.2618777031971
2025-10-28,AAPL,SELL,10,178.93206233672157,1789.3206233672158
2025-10-29,AAPL,SELL,10,177.79051996555623,1777.9051996555622
2025-10-30,AAPL,SELL,10,177.64145578331394,1776.4145578331395
2025-10-31,AAPL,SELL,10,177.09809149671136,1770.9809149671137
2025-11-01,AAPL,SELL,10,170.78618072914944,1707.8618072914944
2025-11-02,AAPL,SELL,10,173.14763309612556,1731.4763309612556
2025-11-03,AAPL,SELL,10,172.41054667018935,1724.1054667018934
2025-11-04,AAPL,SELL,10,170.2498439220107,1702.4984392201072
